"groundName","location","price"
"City Hawks Sports Complex","Greater Noida","₹ 3000/hr-day"
"Grand Park","Gurgaon","₹ 3000/hr-day"
"HowZzatt Sports Cricket Ground","Greater Noida","₹ N/A"
"Kandhela Cricket Academy","Yamunanagar","₹ 9000/hr-day, 1100/hr-night"
"Mahi Sports Park, Bhondsi","Gurugram","₹ N/A"
"Mavricks Cricket Ground @ TYAGI FARM","Delhi","₹ N/A"
"MVS Cricket Park","Gurgaon","₹ 4000/hr-day"
"N.S. Cricket Ground","Noida","₹ 8000/ 3 hr slot"
"PIOC CRICKET GROUND","Pune","₹ 2000/hr-day, 2500/hr-night"
"Professional Sports Arena (PSA)","Bengaluru (Bangalore)","₹ Not shared"
"S R Cricket Ground, Dommasandra","Bengaluru (Bangalore)","₹ 1000/hr-day"
"Ekta Sports Cricket Ground","Gurgaon","₹ 1500/hr-day, 5000/hr-night"
"Ground U14","Kosamba","₹ 60/hr-day"
"Jp Cricket Ground","Ghaziabad","₹ 7500/hr-day"
"M Sports Cricket Park","Hyderabad (Telangana)","₹ N/A"
"Mango Tree Cricket Ground","Gandhinagar","₹ N/A"
"Newlands Cricket Ground","Noida","₹ 4000/hr-day"
"Palwali Cricket Ground.","Faridabad","₹ 0/hr-day, 0/hr-night"
"Rasul Cricket Ground","Mandi Bahauddin","₹ 0/hr-day, 0/hr-night"
"(MGC)mandi Ground Chhattisgarh (whatsapp)","Chandigarh","₹ N/A"
"(New) NARAYANA SPORTS ACADEMY GROUND","Jaipur","₹ N/A"
"1 Weekend WarZone","Gurgaon","₹ 4000/hr-day, 5000/hr-night"
"2 No. School Cricket Ground","Balotra","₹ 1500/hr-day, 1000/hr-night"
"22 Yards Cricket Da Adda","Greater Noida","₹ 4000/hr-day, 4/hr-night"
"Ground U14","Kosamba","₹ 60/hr-day"
"Jp Cricket Ground","Ghaziabad","₹ 7500/hr-day"
"M Sports Cricket Park","Hyderabad (Telangana)","₹ N/A"
"Mango Tree Cricket Ground","Gandhinagar","₹ N/A"
"Newlands Cricket Ground","Noida","₹ 4000/hr-day"
"Palwali Cricket Ground.","Faridabad","₹ 0/hr-day, 0/hr-night"
"Rasul Cricket Ground","Mandi Bahauddin","₹ 0/hr-day, 0/hr-night"
"(MGC)mandi Ground Chhattisgarh (whatsapp)","Chandigarh","₹ N/A"
"(New) NARAYANA SPORTS ACADEMY GROUND","Jaipur","₹ N/A"
"1 Weekend WarZone","Gurgaon","₹ 4000/hr-day, 5000/hr-night"
"2 No. School Cricket Ground","Balotra","₹ 1500/hr-day, 1000/hr-night"
"22 Yards Cricket Da Adda","Greater Noida","₹ 4000/hr-day, 4/hr-night"
"3 JsdJohdi Ground (whatdapp)","Suratgarh","₹ N/A"
"3S Cricket Academy Ground, Ghaziabad","Ghaziabad","₹ N/A"
"4 EKKAR (MARTHOMA GROUND)","Kollam","₹ 0/hr-day, 0/hr-night"
"40+ Belapur Sports Association Cricket Ground","Navi Mumbai","₹ 5000/hr-day, 9000/hr-night"
"4F CRICKET GROUND","Chenani","₹ 10000/hr-day"
"9t9 Cricket Academy","Haridwar","₹ 500/hr-day, 1000/hr-night"
"A Team Cricket Ground","Dumka","₹ 1000/hr-day, 500/hr-night"
"A3 Cricket Academy Ground","Delhi","₹ 3500/4hr"
"AAA Shivshakti Cricket Ground","Ahmedabad","₹ 7000/hr-day, 3000/hr-night"
"Aadarsh Stadium Ajit","Samdari","₹ 500/hr-day"
"Aadhavan cricket ground","Hyderabad (Telangana)","₹ 4500/hr-day"
"AAI GAONDEVI KRIDANGAN NARIVALI","Thane","₹ 4500/hr-day, 4500/hr-night"
"Ground U14","Kosamba","₹ 60/hr-day"
"Jp Cricket Ground","Ghaziabad","₹ 7500/hr-day"
"M Sports Cricket Park","Hyderabad (Telangana)","₹ N/A"
"Mango Tree Cricket Ground","Gandhinagar","₹ N/A"
"Newlands Cricket Ground","Noida","₹ 4000/hr-day"
"Palwali Cricket Ground.","Faridabad","₹ 0/hr-day, 0/hr-night"
"Rasul Cricket Ground","Mandi Bahauddin","₹ 0/hr-day, 0/hr-night"
"(MGC)mandi Ground Chhattisgarh (whatsapp)","Chandigarh","₹ N/A"
"(New) NARAYANA SPORTS ACADEMY GROUND","Jaipur","₹ N/A"
"1 Weekend WarZone","Gurgaon","₹ 4000/hr-day, 5000/hr-night"
"2 No. School Cricket Ground","Balotra","₹ 1500/hr-day, 1000/hr-night"
"22 Yards Cricket Da Adda","Greater Noida","₹ 4000/hr-day, 4/hr-night"
"3 JsdJohdi Ground (whatdapp)","Suratgarh","₹ N/A"
"3S Cricket Academy Ground, Ghaziabad","Ghaziabad","₹ N/A"
"4 EKKAR (MARTHOMA GROUND)","Kollam","₹ 0/hr-day, 0/hr-night"
"40+ Belapur Sports Association Cricket Ground","Navi Mumbai","₹ 5000/hr-day, 9000/hr-night"
"4F CRICKET GROUND","Chenani","₹ 10000/hr-day"
"9t9 Cricket Academy","Haridwar","₹ 500/hr-day, 1000/hr-night"
"A Team Cricket Ground","Dumka","₹ 1000/hr-day, 500/hr-night"
"A3 Cricket Academy Ground","Delhi","₹ 3500/4hr"
"AAA Shivshakti Cricket Ground","Ahmedabad","₹ 7000/hr-day, 3000/hr-night"
"Aadarsh Stadium Ajit","Samdari","₹ 500/hr-day"
"Aadhavan cricket ground","Hyderabad (Telangana)","₹ 4500/hr-day"
"AAI GAONDEVI KRIDANGAN NARIVALI","Thane","₹ 4500/hr-day, 4500/hr-night"
"Aarey Bhaskar Cricket Ground","Mumbai","₹ 15000/Day"
"aatmandji cricket ground","Ahore (Jalore)","₹ 1500/hr-day, 1/hr-night"
"AB CKT HUB","Faridabad","₹ 3500/hr-day"
"Abbas Ground","Pulwama","₹ 500/hr-day"
"Abdullah DADI PATEL Ground Lajpor","Surat","₹ 3000/hr-day, 3000/hr-night"
"ABESIT Complex Ground","Ghaziabad","₹ N/A"
"Abhi sports Cricket Ground","Gurugram","₹ 11000/hr-day"
"ABR Sports Ground","Bengaluru (Bangalore)","₹ -"
"Abrahams Court vatar","Virar","₹ 700/hr-day, 800/hr-night"
"ABRR CRICKET GROUND 1","Hyderabad (Telangana)","₹ 6500/hr-day, 0/hr-night"
"ABRR CRICKET GROUND 2","Hyderabad (Telangana)","₹ 6500/hr-day"
"ABRR GROUND G1","Ranga Reddy district","₹ 2600/hr-day, 6000/hr-night"
"Ground U14","Kosamba","₹ 60/hr-day"
"Jp Cricket Ground","Ghaziabad","₹ 7500/hr-day"
"M Sports Cricket Park","Hyderabad (Telangana)","₹ N/A"
"Mango Tree Cricket Ground","Gandhinagar","₹ N/A"
"Newlands Cricket Ground","Noida","₹ 4000/hr-day"
"Palwali Cricket Ground.","Faridabad","₹ 0/hr-day, 0/hr-night"
"Rasul Cricket Ground","Mandi Bahauddin","₹ 0/hr-day, 0/hr-night"
"(MGC)mandi Ground Chhattisgarh (whatsapp)","Chandigarh","₹ N/A"
"(New) NARAYANA SPORTS ACADEMY GROUND","Jaipur","₹ N/A"
"1 Weekend WarZone","Gurgaon","₹ 4000/hr-day, 5000/hr-night"
"2 No. School Cricket Ground","Balotra","₹ 1500/hr-day, 1000/hr-night"
"22 Yards Cricket Da Adda","Greater Noida","₹ 4000/hr-day, 4/hr-night"
"3 JsdJohdi Ground (whatdapp)","Suratgarh","₹ N/A"
"3S Cricket Academy Ground, Ghaziabad","Ghaziabad","₹ N/A"
"4 EKKAR (MARTHOMA GROUND)","Kollam","₹ 0/hr-day, 0/hr-night"
"40+ Belapur Sports Association Cricket Ground","Navi Mumbai","₹ 5000/hr-day, 9000/hr-night"
"4F CRICKET GROUND","Chenani","₹ 10000/hr-day"
"9t9 Cricket Academy","Haridwar","₹ 500/hr-day, 1000/hr-night"
"A Team Cricket Ground","Dumka","₹ 1000/hr-day, 500/hr-night"
"A3 Cricket Academy Ground","Delhi","₹ 3500/4hr"
"AAA Shivshakti Cricket Ground","Ahmedabad","₹ 7000/hr-day, 3000/hr-night"
"Aadarsh Stadium Ajit","Samdari","₹ 500/hr-day"
"Aadhavan cricket ground","Hyderabad (Telangana)","₹ 4500/hr-day"
"AAI GAONDEVI KRIDANGAN NARIVALI","Thane","₹ 4500/hr-day, 4500/hr-night"
"Aarey Bhaskar Cricket Ground","Mumbai","₹ 15000/Day"
"aatmandji cricket ground","Ahore (Jalore)","₹ 1500/hr-day, 1/hr-night"
"AB CKT HUB","Faridabad","₹ 3500/hr-day"
"Abbas Ground","Pulwama","₹ 500/hr-day"
"Abdullah DADI PATEL Ground Lajpor","Surat","₹ 3000/hr-day, 3000/hr-night"
"ABESIT Complex Ground","Ghaziabad","₹ N/A"
"Abhi sports Cricket Ground","Gurugram","₹ 11000/hr-day"
"ABR Sports Ground","Bengaluru (Bangalore)","₹ -"
"Abrahams Court vatar","Virar","₹ 700/hr-day, 800/hr-night"
"ABRR CRICKET GROUND 1","Hyderabad (Telangana)","₹ 6500/hr-day, 0/hr-night"
"ABRR CRICKET GROUND 2","Hyderabad (Telangana)","₹ 6500/hr-day"
"ABRR GROUND G1","Ranga Reddy district","₹ 2600/hr-day, 6000/hr-night"
