"commentatorName","city","matches","price"
"Ankur Mishra","Ahmedabad","615","₹ 2500/day, 1000/match"
"Ankur Mishra","Ahmedabad","615","₹ 2500/day, 1000/match"
"Karan Soni","Ahmedabad","338","₹ 1200-1500/Day"
"Karan Soni","Ahmedabad","338","₹ 1200-1500/Day"
"Jigar Kadiwala","Surat","310","₹ 3000/day, 1500/match"
"Jigar Kadiwala","Surat","310","₹ 3000/day, 1500/match"
"Anish A. Shaikh","Surat","283","₹ 2000/Day"
"Anish A. Shaikh","Surat","283","₹ 2000/Day"
"Noor Malek","Surat","262","₹ 1500-2000/Day"
"Noor Malek","Surat","262","₹ 1500-2000/Day"
"Hemant Das","Pune","237","₹ 4000/day, 2000/match"
"Hemant Das","Pune","237","₹ 4000/day, 2000/match"
"Kalpesh","Ahmedabad","227","₹ 500/Match"
"Kalpesh","Ahmedabad","227","₹ 500/Match"
"Sher Khan","Umm al-Quwain","187","₹ 250/day, 100/match"
"Sher Khan","Umm al-Quwain","187","₹ 250/day, 100/match"
"Kanhaiyalal Rajoriya","Jaipur","174","₹ 7000/day, 2500/match"
"Kanhaiyalal Rajoriya","Jaipur","174","₹ 7000/day, 2500/match"
"MALLIKARJUN MADRI","Gulbarga","162","₹ 2000/day, 1000/match"
"MALLIKARJUN MADRI","Gulbarga","162","₹ 2000/day, 1000/match"
"SANDY PONTING","Nanded","153","₹ 1000/day, 500/match"
"SANDY PONTING","Nanded","153","₹ 1000/day, 500/match"
"AVINASH KUMAR","Raipur (Chhattisgarh)","147","₹ 1000/day, 500/match"
"AVINASH KUMAR","Raipur (Chhattisgarh)","147","₹ 1000/day, 500/match"
"Salman Dad Khan","Nanded","127","₹ 1500/day, 800/match"
"Salman Dad Khan","Nanded","127","₹ 1500/day, 800/match"
"Aakash Prajapati","Ahmedabad","127","₹ 2000/day, 500/match"
"Aakash Prajapati","Ahmedabad","127","₹ 2000/day, 500/match"
"Sarfraj Mankda","Chikhli (Gujarat)","117","₹ 1500/day, 300/match"
"Sarfraj Mankda","Chikhli (Gujarat)","117","₹ 1500/day, 300/match"
"Abhinay Tiwari","Ahmedabad","117","₹ 2000/day, 800/match"
"Abhinay Tiwari","Ahmedabad","117","₹ 2000/day, 800/match"
"Shahbaaz Khan","Ahmedabad","112","₹ 1500-2000/Day"
"Shahbaaz Khan","Ahmedabad","112","₹ 1500-2000/Day"
"AZIZ BODIYAT","Surat","112","₹ 1500/Day"
"AZIZ BODIYAT","Surat","112","₹ 1500/Day"
"Abhi Prajapati","Ahmedabad","112","₹ 1500/day, 500/match"
"Abhi Prajapati","Ahmedabad","112","₹ 1500/day, 500/match"
"BRIJENDRA SINGH","Jhansi","104","₹ 1000/day, 500/match"
"BRIJENDRA SINGH","Jhansi","104","₹ 1000/day, 500/match"
"Milind Uttrankar","Vadodara","104","₹ 2000/Day"
"Milind Uttrankar","Vadodara","104","₹ 2000/Day"
"Deepak Chawhan","Ahmedabad","102","₹ 1200-1500/ match"
"Deepak Chawhan","Ahmedabad","102","₹ 1200-1500/ match"
"Nitin Vetal","Pune","98","₹ 3500/day, 1500/match"
"Nitin Vetal","Pune","98","₹ 3500/day, 1500/match"
"Jayesh Kant","Jaipur","84","₹ 1000/day, 500/match"
"Jayesh Kant","Jaipur","84","₹ 1000/day, 500/match"
"Ilyas Memon","Surat","82","₹ 2500/day, 1000/match"
"Ilyas Memon","Surat","82","₹ 2500/day, 1000/match"
"NASIR UL ISLAM","Banihal","73","₹ 4000/day, 1000/match"
"NASIR UL ISLAM","Banihal","73","₹ 4000/day, 1000/match"
"Mayank Tyagi","Ghaziabad","68","₹ 3000/day, 1000/match"
"Mayank Tyagi","Ghaziabad","68","₹ 3000/day, 1000/match"
"Lakshit Mehndiratta","Ludhiana","62","₹ N/A"
"Lakshit Mehndiratta","Ludhiana","62","₹ N/A"
"HARSHIT Sharma","Jaipur","62","₹ 6000/day, 3000/match"
"HARSHIT Sharma","Jaipur","62","₹ 6000/day, 3000/match"
"Vinay Sharma","New Delhi","62","₹ 2800/day, 800/match"
"Vinay Sharma","New Delhi","62","₹ 2800/day, 800/match"
"Anil Newaskar","Pune","60","₹ 4000/day, 2000/match"
"Anil Newaskar","Pune","60","₹ 4000/day, 2000/match"
"Nabeel ur Rehman","Sharjah","60","₹ 150/day, 75/match"
"Nabeel ur Rehman","Sharjah","60","₹ 150/day, 75/match"
"AMIN KALDAR","Surat","57","₹ 2000/day, 500/match"
"AMIN KALDAR","Surat","57","₹ 2000/day, 500/match"
"Pankaj Mohakud","Baripada","53","₹ 2500/day, 500/match"
"Pankaj Mohakud","Baripada","53","₹ 2500/day, 500/match"
"JITENDRA PATEL","Valsad","51","₹ 1500/day, 400/match"
"JITENDRA PATEL","Valsad","51","₹ 1500/day, 400/match"
"Angad Choudhary","Noida","50","₹ 2000/day, 800/match"
"Angad Choudhary","Noida","50","₹ 2000/day, 800/match"
"Alankar Gautam","Dehradun","49","₹ 2500/day, 1500/match"
"Alankar Gautam","Dehradun","49","₹ 2500/day, 1500/match"
"Mohammed Niaz","Dubai","44","₹ 500/day, 200/match"
"Mohammed Niaz","Dubai","44","₹ 500/day, 200/match"
"Ramesh Desai","Ahmedabad","43","₹ 600/Match"
"Ramesh Desai","Ahmedabad","43","₹ 600/Match"
"Upendra Panwar","Dehradun","43","₹ 1500/day, 1200/match"
"Upendra Panwar","Dehradun","43","₹ 1500/day, 1200/match"
"DHANANJAY N VYAS","Ahmedabad","40","₹ 3000/day, 2000/match"
"DHANANJAY N VYAS","Ahmedabad","40","₹ 3000/day, 2000/match"
"Dharmesh Patel","Gandhinagar","36","₹ 1100/day, 500/match"
"Dharmesh Patel","Gandhinagar","36","₹ 1100/day, 500/match"
"Mohd Yusuf","Sohna","33","₹ 1500/day, 1000/match"
"Mohd Yusuf","Sohna","33","₹ 1500/day, 1000/match"
"Dheeraj Sharma","Jaipur","31","₹ 1000/day, 400/match"
"Dheeraj Sharma","Jaipur","31","₹ 1000/day, 400/match"
"Ganesh Pachava","Hyderabad (Telangana)","31","₹ 2000/day, 1000/match"
"Ganesh Pachava","Hyderabad (Telangana)","31","₹ 2000/day, 1000/match"
"Mukesh Barot","Rajkot","31","₹ 1000/Match, 2000/Day"
"Mukesh Barot","Rajkot","31","₹ 1000/Match, 2000/Day"
"Girish madhpura","Surat","30","₹ 3100/day, 1000/match"
"Girish madhpura","Surat","30","₹ 3100/day, 1000/match"
"AKIB SHAIKH","Dharampur","30","₹ 1000/day, 200/match"
"AKIB SHAIKH","Dharampur","30","₹ 1000/day, 200/match"
"Rishi Parikh","Ahmedabad","29","₹ 1000-1200/Match"
"Rishi Parikh","Ahmedabad","29","₹ 1000-1200/Match"
"Asif Shaikh","Cuttack","28","₹ 0/day, 0/match"
"Asif Shaikh","Cuttack","28","₹ 0/day, 0/match"
"ShoAib","Hyderabad (Telangana)","27","₹ 3000/day, 1500/match"
"ShoAib","Hyderabad (Telangana)","27","₹ 3000/day, 1500/match"
"Madan Madikeri","Bengaluru (Bangalore)","26","₹ 5000/day, 3000/match"
"Madan Madikeri","Bengaluru (Bangalore)","26","₹ 5000/day, 3000/match"
"Ayaz Mohsin","Jalgaon","24","₹ 3500/day, 1500/match"
"Ayaz Mohsin","Jalgaon","24","₹ 3500/day, 1500/match"
"Nawaj Aarisar","Barmer","24","₹ 1200/day, 300/match"
"Nawaj Aarisar","Barmer","24","₹ 1200/day, 300/match"
"Shabeeb","Al Ain","22","₹ 2000/day, 2000/match"
"Shabeeb","Al Ain","22","₹ 2000/day, 2000/match"
"Imran Hafezi","Surat","22","₹ 1500/day"
"Imran Hafezi","Surat","22","₹ 1500/day"
"Harshal Pravin Patel","Navsari","22","₹ 1500/day, 1000/match"
"Harshal Pravin Patel","Navsari","22","₹ 1500/day, 1000/match"
"HIMANSHU JAISWAL","Chhindwara","22","₹ 1000/day, 200/match"
"HIMANSHU JAISWAL","Chhindwara","22","₹ 1000/day, 200/match"
"Amrut Birhade","Aurangabad (Maharashtra)","20","₹ 2500/day, 2500/match"
"Amrut Birhade","Aurangabad (Maharashtra)","20","₹ 2500/day, 2500/match"
"Soumik Das Kanungo","Rairangpur","19","₹ 2000/day, 1000/match"
"Soumik Das Kanungo","Rairangpur","19","₹ 2000/day, 1000/match"
"SANTOSH KARABARI","Gadag","19","₹ 1500/day, 400/match"
"SANTOSH KARABARI","Gadag","19","₹ 1500/day, 400/match"
"Atif Khan COMENTRATOR","Aurangabad (Maharashtra)","19","₹ 1000/day, 500/match"
"Atif Khan COMENTRATOR","Aurangabad (Maharashtra)","19","₹ 1000/day, 500/match"
"Abhijit Pawar","Mumbai","18","₹ 7000/day, 2000/match"
"Abhijit Pawar","Mumbai","18","₹ 7000/day, 2000/match"
