"TournamentName","TournamentLink"
"LPS Bossard presents G P L 5","https://cricheroes.in/tournament/316576/LPS-Bossard-presents-G-P-L-5"
"Bandaru Premier League","https://cricheroes.in/tournament/305118/Bandaru-Premier-League"
"Jain Champions League-5","https://cricheroes.in/tournament/318072/Jain-Champions-League-5"
"MARKYS BCL-2021","https://cricheroes.in/tournament/329934/MARKYS-BCL-2021"
"NORTH EAST PREMIERE LEAGUE Season 5","https://cricheroes.in/tournament/321600/NORTH-EAST-PREMIERE-LEAGUE-Season-5"
"Society Premier League - 2","https://cricheroes.in/tournament/314217/Society-Premier-League---2"
"The Sindhu Culture Premier League","https://cricheroes.in/tournament/330359/The-Sindhu-Culture-Premier-League"
"Trace Pro League - Season 2","https://cricheroes.in/tournament/312872/Trace-Pro-League---Season-2"
"G S P L","https://cricheroes.in/tournament/278609/G-S-P-L"
"Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup","https://cricheroes.in/tournament/328668/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup"
"Emami City Premier League 2021","https://cricheroes.in/tournament/312805/Emami-City-Premier-League-2021"
"ACCC Night Tournament 2021","https://cricheroes.in/tournament/296892/ACCC-Night-Tournament-2021"
"ER R Authilingom Memorial cricket Tournament, vellore","https://cricheroes.in/tournament/316146/ER-R-Authilingom-Memorial-cricket-Tournament,-vellore"
"Maheshwari Premiere League Season-9","https://cricheroes.in/tournament/325604/Maheshwari-Premiere-League-Season-9"
"Mahindra First Choice Cup","https://cricheroes.in/tournament/289575/Mahindra-First-Choice-Cup"
"Rajasthan Premier League (Season - 3)","https://cricheroes.in/tournament/318859/Rajasthan-Premier-League-(Season---3)"
"Suknai bhai Chara Trophy Season 4","https://cricheroes.in/tournament/212717/Suknai-bhai-Chara-Trophy-Season-4"
"BGTA Premier League 4.0","https://cricheroes.in/tournament/316259/BGTA-Premier-League-4.0"
"New Gurgaon Premier League Season 2","https://cricheroes.in/tournament/279981/New-Gurgaon-Premier-League-Season-2"
"Pinak The Hundered","https://cricheroes.in/tournament/299145/Pinak-The-Hundered"
"Jaykheda Premier League 2022 (Season 4th)","https://cricheroes.in/tournament/316668/Jaykheda-Premier-League-2022-(Season-4th)"
"East Delhi Premier League","https://cricheroes.in/tournament/301117/East-Delhi-Premier-League"
"FRIDAY BIG BASH Season 4","https://cricheroes.in/tournament/280609/FRIDAY-BIG-BASH-Season-4"
"ACCC Night Tournament 2021","https://cricheroes.in/tournament/296892/ACCC-Night-Tournament-2021"
"ER R Authilingom Memorial cricket Tournament, vellore","https://cricheroes.in/tournament/316146/ER-R-Authilingom-Memorial-cricket-Tournament,-vellore"
"Maheshwari Premiere League Season-9","https://cricheroes.in/tournament/325604/Maheshwari-Premiere-League-Season-9"
"Mahindra First Choice Cup","https://cricheroes.in/tournament/289575/Mahindra-First-Choice-Cup"
"Rajasthan Premier League (Season - 3)","https://cricheroes.in/tournament/318859/Rajasthan-Premier-League-(Season---3)"
"Suknai bhai Chara Trophy Season 4","https://cricheroes.in/tournament/212717/Suknai-bhai-Chara-Trophy-Season-4"
"BGTA Premier League 4.0","https://cricheroes.in/tournament/316259/BGTA-Premier-League-4.0"
"New Gurgaon Premier League Season 2","https://cricheroes.in/tournament/279981/New-Gurgaon-Premier-League-Season-2"
"Pinak The Hundered","https://cricheroes.in/tournament/299145/Pinak-The-Hundered"
"Jaykheda Premier League 2022 (Season 4th)","https://cricheroes.in/tournament/316668/Jaykheda-Premier-League-2022-(Season-4th)"
"East Delhi Premier League","https://cricheroes.in/tournament/301117/East-Delhi-Premier-League"
"FRIDAY BIG BASH Season 4","https://cricheroes.in/tournament/280609/FRIDAY-BIG-BASH-Season-4"
"Marwari Yuva Manch Cricketoosav 2021-22","https://cricheroes.in/tournament/309318/Marwari-Yuva-Manch-Cricketoosav-2021-22"
"Medicare Cup 2021","https://cricheroes.in/tournament/320179/Medicare-Cup-2021"
"OPL Champions","https://cricheroes.in/tournament/290308/OPL-Champions"
"2nd SATCA CRICKET LEAGUE","https://cricheroes.in/tournament/267277/2nd-SATCA-CRICKET-LEAGUE"
"Fantastic 4 - 2021","https://cricheroes.in/tournament/245620/Fantastic-4---2021"
