TournamentName,TeamA,TeamAScore,TeamB,TeamBScore,ground,city,date,overs,Round,GameResult,gameLink
LPS Bossard presents G P L 5,KKR,123/3,Willow Bank,101/4,old ITI Ground, Rohtak, 27-Dec-21, 6 Ov.,FINAL,KKR won by 22 runs,https://cricheroes.in/scorecard/2719072/LPS-Bossard-presents-G-P-L-5/KKR-vs-Willow-Bank
LPS Bossard presents G P L 5,rohtak tigers gpl,76/3,Young Smashers,44/6,old ITI Ground, Rohtak, 24-Dec-21, 7 Ov.,ROUND ONE,rohtak tigers gpl won by 32 runs,https://cricheroes.in/scorecard/2691540/LPS-Bossard-presents-G-P-L-5/rohtak-tigers-gpl-vs-Young-Smashers
LPS Bossard presents G P L 5,Rohtak Super Jaints,39/4,Willow Bank,41/0,old ITI Ground, Rohtak, 26-Dec-21, 6 Ov.,PRE QUARTER FINAL,Willow Bank won by 6 wickets,https://cricheroes.in/scorecard/2702882/LPS-Bossard-presents-G-P-L-5/Rohtak-Super-Jaints-vs-Willow-Bank
LPS Bossard presents G P L 5,Adilick 7,110/2,Vintage Xl,51/6,old ITI Ground, Rohtak, 26-Dec-21, 6 Ov.,PRE QUARTER FINAL,Adilick 7 won by 59 runs,https://cricheroes.in/scorecard/2702857/LPS-Bossard-presents-G-P-L-5/Adilick-7-vs-Vintage-Xl
LPS Bossard presents G P L 5,Super Strikers 7,76/5,7 Spartans,71/5,old ITI Ground, Rohtak, 26-Dec-21, 6 Ov.,PRE QUARTER FINAL,Super Strikers 7 won by 5 runs,https://cricheroes.in/scorecard/2702869/LPS-Bossard-presents-G-P-L-5/Super-Strikers-7-vs-7-Spartans
LPS Bossard presents G P L 5,KKR,92/4,Screaming Eagles,54/6,old ITI Ground, Rohtak, 26-Dec-21, 6 Ov.,PRE QUARTER FINAL,KKR won by 38 runs,https://cricheroes.in/scorecard/2702848/LPS-Bossard-presents-G-P-L-5/KKR-vs-Screaming-Eagles
LPS Bossard presents G P L 5,Real Fighters GPL,115/3,7 Strikers,117/3,old ITI Ground, Rohtak, 26-Dec-21, 6 Ov.,PRE QUARTER FINAL,7 Strikers won by 3 wickets,https://cricheroes.in/scorecard/2702853/LPS-Bossard-presents-G-P-L-5/Real-Fighters-GPL-vs-7-Strikers
LPS Bossard presents G P L 5,Rohtak Fighter,65/6,Shori Market,68/4,old ITI Ground, Rohtak, 25-Dec-21, 7 Ov.,PRE QUARTER FINAL,Shori Market won by 2 wickets,https://cricheroes.in/scorecard/2702071/LPS-Bossard-presents-G-P-L-5/Rohtak-Fighter-vs-Shori-Market
LPS Bossard presents G P L 5,KKR,117/3,Devil King Gpl,57/4,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,KKR won by 60 runs,https://cricheroes.in/scorecard/2701778/LPS-Bossard-presents-G-P-L-5/KKR-vs-Devil-King-Gpl
LPS Bossard presents G P L 5,Adilick 7,142/3,Thunder Bolts,55/5,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,Adilick 7 won by 87 runs,https://cricheroes.in/scorecard/2701509/LPS-Bossard-presents-G-P-L-5/Adilick-7-vs-Thunder-Bolts
LPS Bossard presents G P L 5,Adilick 7,86/5,Hansi Golfarshot,56/6,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND ONE,Adilick 7 won by 30 runs,https://cricheroes.in/scorecard/2701187/LPS-Bossard-presents-G-P-L-5/Adilick-7-vs-Hansi-Golfarshot
LPS Bossard presents G P L 5,Rohtak Spartans,16/6,Shori Market,20/0,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,Shori Market won by 6 wickets,https://cricheroes.in/scorecard/2700461/LPS-Bossard-presents-G-P-L-5/Rohtak-Spartans-vs-Shori-Market
LPS Bossard presents G P L 5,7 Strikers,111/3,Scorpio Seven,69/6,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,7 Strikers won by 42 runs,https://cricheroes.in/scorecard/2700456/LPS-Bossard-presents-G-P-L-5/7-Strikers-vs-Scorpio-Seven
LPS Bossard presents G P L 5,Willow Bank,101/3,rohtak tigers gpl,50/4,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,Willow Bank won by 51 runs,https://cricheroes.in/scorecard/2700228/LPS-Bossard-presents-G-P-L-5/Willow-Bank-vs-rohtak-tigers-gpl
LPS Bossard presents G P L 5,Willow Bank,126/4,Malborne Stars,37/4,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,Willow Bank won by 89 runs,https://cricheroes.in/scorecard/2699952/LPS-Bossard-presents-G-P-L-5/Willow-Bank-vs-Malborne-Stars
LPS Bossard presents G P L 5,Super Strikers 7,96/3,Ronnit 7,78/6,old ITI Ground, Rohtak, 25-Dec-21, 7 Ov.,ROUND TWO,Super Strikers 7 won by 18 runs,https://cricheroes.in/scorecard/2699513/LPS-Bossard-presents-G-P-L-5/Super-Strikers-7-vs-Ronnit-7
LPS Bossard presents G P L 5,7 Spartans,105/3,Black Panthers,63/6,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,7 Spartans won by 42 runs,https://cricheroes.in/scorecard/2695853/LPS-Bossard-presents-G-P-L-5/7-Spartans-vs-Black-Panthers
LPS Bossard presents G P L 5,Rohtak Super Jaints,103/2,Nitin Warriors GPL,70/4,old ITI Ground, Rohtak, 25-Dec-21, 7 Ov.,ROUND TWO,Rohtak Super Jaints won by 33 runs,https://cricheroes.in/scorecard/2698591/LPS-Bossard-presents-G-P-L-5/Rohtak-Super-Jaints-vs-Nitin-Warriors-GPL
LPS Bossard presents G P L 5,Pitch Smashers,57/3,Rohtak Fighter,63/1,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,Rohtak Fighter won by 5 wickets,https://cricheroes.in/scorecard/2698230/LPS-Bossard-presents-G-P-L-5/Pitch-Smashers-vs-Rohtak-Fighter
LPS Bossard presents G P L 5,Real Fighters GPL,90/3,HR 12 Club GPL,86/6,old ITI Ground, Rohtak, 25-Dec-21, 6 Ov.,ROUND TWO,Real Fighters GPL won by 4 runs,https://cricheroes.in/scorecard/2695793/LPS-Bossard-presents-G-P-L-5/Real-Fighters-GPL-vs-HR-12-Club-GPL
LPS Bossard presents G P L 5,Vintage Xl,68/7,I Toppers Institute GPL,38/6,old ITI Ground, Rohtak, 25-Dec-21, 7 Ov.,ROUND TWO,Vintage Xl won by 30 runs,https://cricheroes.in/scorecard/2695787/LPS-Bossard-presents-G-P-L-5/Vintage-Xl-vs-I-Toppers-Institute-GPL
